T-PMT-T2;ChS1-T2;ChS1-T3;distance;pH;;;;;;
45352;13501;7158;98.72;7.93;;;;;;
45352;13501;7158;99.14;7.93;;;;;;
45280;12098;7240;99.55;8.15;;;;;;
45146;12424;7074;100.38;8.05;;;;;;
45256;11002;7800;100.80;8.82;;;;;;
45158;12943;7170;101.21;8.00;;;;;;
45249;11674;8047;101.63;8.63;;;;;;
45183;11393;6753;102.04;8.13;;;;;;
45257;11477;8323;102.46;9.06;;;;;;
45155;11998;6747;102.87;8.03;;;;;;
45203;11838;8187;103.28;8.65;;;;;;
45212;12267;7493;103.70;8.20;;;;;;
45206;12129;5981;104.11;7.82;;;;;;
45182;12974;7403;104.53;8.05;;;;;;
45243;12014;6137;104.94;7.87;;;;;;
45158;13378;7062;105.36;7.92;;;;;;
45173;11017;6840;105.77;8.24;;;;;;
45215;12893;7120;106.19;7.99;;;;;;
45179;10953;7431;106.60;8.55;;;;;;
45179;10953;7431;107.02;8.55;;;;;;
45212;12202;6247;107.43;7.87;;;;;;
45091;11447;7802;107.85;8.57;;;;;;
45229;11843;7132;108.26;8.17;;;;;;
45241;12913;6886;108.68;7.94;;;;;;
45366;11984;7035;109.09;8.11;;;;;;
45763;11497;6365;109.51;8.00;;;;;;
45874;13402;6806;109.92;7.86;;;;;;
45994;11511;6795;110.34;8.12;;;;;;
45680;11997;7695;110.75;8.34;;;;;;
45747;10318;7428;111.17;8.97;;;;;;
44867;12492;7679;111.58;8.22;;;;;;
42753;11958;7239;112.00;8.18;;;;;;
41417;11596;7203;112.41;8.24;;;;;;
37708;11481;8573;112.83;9.86;;;;;;
45808;10609;6616;113.65;8.25;;;;;;
45712;12590;8155;114.07;8.37;;;;;;
45558;13263;7218;114.48;7.97;;;;;;
45313;11394;7860;115.31;8.64;;;;;;
45211;12048;6592;115.73;7.98;;;;;;
45263;12781;7052;116.14;7.99;;;;;;
45204;11899;6069;116.56;7.87;;;;;;
45238;11498;6713;116.97;8.10;;;;;;
45135;12801;5985;117.39;7.75;;;;;;
45100;12113;7663;117.80;8.30;;;;;;
45126;11937;6543;118.22;7.98;;;;;;
45186;12740;9235;118.63;9.05;;;;;;
45045;12313;7748;119.05;8.28;;;;;;
45143;10771;6765;119.46;8.27;;;;;;
45073;11749;7285;119.88;8.24;;;;;;
45119;12172;7873;120.71;8.36;;;;;;
45160;11417;6037;121.12;7.92;;;;;;
45127;10760;7302;121.54;8.55;;;;;;
45114;11606;7260;121.95;8.26;;;;;;
45207;13503;7014;122.37;7.89;;;;;;
45077;11262;7457;122.78;8.45;;;;;;
45125;11355;7365;123.20;8.37;;;;;130,4541304;8,321521739
45117;11747;7275;123.61;8.24;;;;;8,213076923;
45163;11533;6624;124.02;8.07;;;;;;
45128;11152;6695;124.44;8.16;;;;;;
45069;12344;7113;124.85;8.07;;;;;;
45150;12092;6134;125.27;7.86;;;;;;
45140;12994;7160;125.68;7.99;;;;;;
45150;13006;7062;126.10;7.96;;;;;;
45117;11219;8226;126.51;9.23;;;;;;
45182;11438;7357;126.93;8.35;;;;;;
45144;12514;6611;127.34;7.92;;;;;;
45085;11089;6971;127.76;8.28;;;;;;
45042;11120;7510;128.59;8.53;;;;;;
44931;13387;7086;129.00;7.92;;;;;;
45043;11513;8049;129.42;8.72;;;;;;
45126;11667;7050;129.83;8.17;;;;;;
44998;12858;7201;130.25;8.02;;;;;;
45012;12439;7366;130.66;8.13;;;;;;
45050;11253;7679;131.08;8.58;;;;;;
45158;12237;7723;131.49;8.29;;;;;;
45046;12066;6353;131.91;7.92;;;;;;
45058;12282;7735;132.32;8.28;;;;;;
45064;12231;8301;132.74;8.55;;;;;;
44976;12544;6875;133.15;7.98;;;;;;
45047;10112;6164;133.98;8.20;;;;;;
45070;12671;6348;134.39;7.84;;;;;;
45016;10501;7034;134.81;8.50;;;;;;
45020;12279;8745;135.22;8.86;;;;;;
45074;10975;7025;135.64;8.33;;;;;;
45002;9529;6182;136.05;8.37;;;;;;
45059;10961;8210;136.47;10.16;;;;;;
45158;10934;7619;136.88;8.70;;;;;;
44996;12403;8597;137.30;8.67;;;;;;
44947;12360;7658;137.71;8.24;;;;;;
44999;9807;7168;138.13;9.17;;;;;;
44998;12159;7800;138.54;8.34;;;;;;
44988;12726;6351;138.96;7.84;;;;;;
45059;12529;7596;139.37;8.18;;;;;;
44977;11861;7537;140.20;8.31;;;;;;
45028;11126;6380;140.62;8.06;;;;;;
45026;13009;9104;141.03;8.73;;;;;;
45010;11416;7382;141.45;8.36;;;;;;
45057;11274;7797;141.86;8.65;;;;;;
44883;11770;6625;142.28;8.03;;;;;;
44962;12595;7843;142.69;8.25;;;;;;
44863;11790;7644;143.11;8.37;;;;;;
44865;11456;6232;143.52;7.97;;;;;;
45012;11471;7433;143.94;8.37;;;;;;
44945;13340;5883;144.35;7.69;;;;;;
44736;11192;7498;145.18;8.50;;;;;;
44870;12976;7881;145.59;8.19;;;;;;
44902;12695;7853;146.01;8.23;;;;;;
44902;12695;7853;146.42;8.23;;;;;;
44870;12142;7649;146.84;8.28;;;;;;
44997;11834;6563;147.25;8.00;;;;;;
44924;11616;8605;147.67;9.48;;;;;;
44705;12585;6998;148.08;8.01;;;;;;
44887;11123;8013;148.50;8.98;;;;;;
44894;11862;7252;149.33;8.20;;;;;;
44956;11570;7003;149.74;8.18;;;;;;
44936;11489;6702;150.16;8.10;;;;;;
44860;11342;7070;150.57;8.25;;;;;;
44916;11285;6722;150.99;8.14;;;;;;
44911;10699;7481;151.40;8.72;;;;;;
44870;12850;6163;151.82;7.79;;;;;;
44950;12844;7310;152.23;8.05;;;;;;
44860;11889;7698;152.65;8.37;;;;;;
44759;11005;7536;153.06;8.60;;;;;;
44919;11388;7282;153.48;8.33;;;;;;
44747;14125;8046;153.89;8.05;;;;;;
44747;14125;8046;154.31;8.05;;;;;;
44955;11582;8441;154.72;9.13;;;;;;
44885;11452;7743;155.13;8.54;;;;;;
44769;11107;7092;155.55;8.32;;;;;;
44811;11788;7367;156.38;8.26;;;;;;
44969;10665;6232;156.79;8.10;;;;;;
44783;12060;7199;157.21;8.15;;;;;;
44896;11266;7261;157.62;8.35;;;;;;
44770;10544;6577;158.04;8.26;;;;;;
44678;12003;8294;158.45;8.65;;;;;;
44809;11681;6876;159.28;8.12;;;;;;
44643;10367;7142;159.70;8.63;;;;;;
44723;9592;6119;160.11;8.32;;;;;;
44913;11768;7203;160.53;8.21;;;;;;
44691;12244;8224;160.94;8.51;;;;;;
44814;10869;6028;161.36;8.00;;;;;;
45135;12151;6927;161.77;8.05;;;;;;
